file,lines_before,bytes,review_scope
app.js,8069,632767,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
boot-status.js,65,3436,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
business-rules.css,15,6811,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
business-rules.js,212,32483,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
click-fallback.js,103,3631,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
delivery-tax-document.css,1674,57049,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
delivery-tax-document.js,1497,75593,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-backup.js,44,3533,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-customer-experience.css,6,4444,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-customer-experience.js,139,13120,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-integrity.js,286,22351,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-order-flow-v3.css,4,11580,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-order-flow-v3.js,943,77928,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
erp-production-core.js,312,55716,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
index.html,1818,174171,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
local-demo-health.css,1,1967,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
local-demo-health.js,34,7495,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
local-demo-mode.css,1,1471,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
local-demo-mode.js,127,7560,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
local-file-store.js,193,8227,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
quotation-document.css,158,11983,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
quotation-document.js,520,26298,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
receipt-document.css,2026,66508,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
receipt-document.js,1630,81420,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
style.css,2664,160895,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
tenant-context.js,59,1976,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
trial-mode.css,11,3964,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
trial-mode.js,132,12242,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
vite.config.js,21,579,"AST / CSS parser / HTML structure; focused manual tracing of boot, handlers, asset and print paths"
